wallet_pubkey,swap_count,buy_count,sell_count,buy_volume_usd,sell_volume_usd,netflow_usd,first_seen,last_seen,avg_trade_size,largest_trade,consecutive_buys,buy_acceleration,sell_ratio,token_count,unique_pools,emerging_smart_money_score
CdxLf1i4xYnkSTmn4sU2Ca7KTqvdawMEvXDP63KPe26S,3,3,0,20289.0,0,20289.0,15:45:07,16:11:55,6763.0,16797.0,3,1.48,0.0,3,3,99.0
BVjrbtfm1QRjo9t16hU3tCTg4z4twusdLfn69ET7z7Go,2,2,0,7848.0,0,7848.0,15:53:08,16:06:32,3924.0,5500.0,2,0.4,0.0,2,2,69.7
tzsQdXNK8KRes5pwYKrmAW8YhaaE8vhjFBJoWHphtCu,3,3,0,5921.0,0,5921.0,15:46:15,16:13:03,1973.67,2465.0,3,0.25,0.0,3,3,79.3
CNa8jj9w3fi1AD2zzMCUBHgzdBEjWqaobcFVv364vgCv,3,3,0,5675.0,0,5675.0,15:46:04,16:12:51,1891.67,2379.0,3,0.26,0.0,3,3,79.0
6rF5TcBrTnTVCspXWvvoHxP7x6jhQxGiuUk4HqfbGm6a,2,2,0,5456.0,0,5456.0,15:48:36,16:02:00,2728.0,3134.0,2,0.15,0.0,2,2,62.4
5wdLHAPDP5FqgrmPMLLaKZveN7mDs3JDbzfcEyLtwUAS,2,2,0,5376.0,0,5376.0,15:48:31,16:01:55,2688.0,3091.0,2,0.15,0.0,2,2,62.3
A1FR4avmVZjM7QWJp1rEHb6py4cdG5c8soCn11gyhZxV,2,2,0,5256.0,0,5256.0,15:54:16,16:07:40,2628.0,2864.0,2,0.09,0.0,2,2,61.4
Hi1ndVjvTT5vwmRGp8FgmZRXQX9AZga8q6iFLWVnWNft,2,2,0,5216.0,0,5216.0,15:48:20,16:01:43,2608.0,3005.0,2,0.15,0.0,2,2,61.9
4fwXateeLjsfBqxCcbqDK5ZdngWAFaBgNetnoeB8zttJ,3,3,0,5183.0,0,5183.0,15:45:41,16:12:29,1727.67,2207.0,3,0.28,0.0,3,3,78.2
ETcMvx5WMuhZHhhzwWrBmHAAg2Ch7tVvQHgMJybR67Nt,2,2,0,5176.0,0,5176.0,15:54:10,16:07:34,2588.0,2821.0,2,0.09,0.0,2,2,61.3
CiaAc5w2jKxD6BkXtqyRQZePk9pfQRufME2HSknRALJC,2,2,0,5136.0,0,5136.0,15:48:14,16:01:38,2568.0,2962.0,2,0.15,0.0,2,2,61.8
GwjFFUb3Vy5PBwE7xDw27jdmi9k43hnhLGtF28rZP7mh,2,2,0,5016.0,0,5016.0,15:53:59,16:07:23,2508.0,2735.0,2,0.09,0.0,2,2,60.9
