wallet_pubkey,swap_count,verified_quote_swaps,unverified_quote_swaps,buy_count,sell_count,buy_volume_usd,sell_volume_usd,netflow_usd,consecutive_buys,buy_acceleration,sell_ratio,largest_trade_usd,emerging_smart_money_score,is_emerging_smart_money
CdxLf1i4xYnkSTmn4sU2Ca7KTqvdawMEvXDP63KPe26S,3,3,0,3,0,20289.0,UNKNOWN,20289.0,3,1.48,0.0,16797.0,78.1,True
9kpCiYx7D6QAhKPc2dzAffNjq9TyrYqGAw84kSyo89Tm,3,3,0,3,0,4488.0,UNKNOWN,4488.0,3,0.47,0.0,2200.0,52.2,False
tzsQdXNK8KRes5pwYKrmAW8YhaaE8vhjFBJoWHphtCu,3,3,0,3,0,5921.0,UNKNOWN,5921.0,3,0.25,0.0,2465.0,51.4,False
CNa8jj9w3fi1AD2zzMCUBHgzdBEjWqaobcFVv364vgCv,3,3,0,3,0,5675.0,UNKNOWN,5675.0,3,0.26,0.0,2379.0,51.3,False
4fwXateeLjsfBqxCcbqDK5ZdngWAFaBgNetnoeB8zttJ,3,3,0,3,0,5183.0,UNKNOWN,5183.0,3,0.28,0.0,2207.0,51.0,False
DsC81MNTLr28hbp5ga6ikHe3KxB9DcGacmPh6xJf2rTf,3,3,0,3,0,4937.0,UNKNOWN,4937.0,3,0.29,0.0,2121.0,50.8,False
4SkqFvA5VMNwf4h7ecmc8JphqNW6bGE7jWr9r5iJMCjU,3,3,0,3,0,4199.0,UNKNOWN,4199.0,3,0.33,0.0,1863.0,50.5,False
DG4qxo6Zit2sFiS8mGq8engAiZgmhVePn9FfxbPgKkvM,3,3,0,3,0,2969.0,UNKNOWN,2969.0,3,0.45,0.0,1433.0,50.4,False
5aDh16X6eDntpDEqN2ajB6dYsMbZzs2pNnfvevVFejz,3,3,0,3,0,3461.0,UNKNOWN,3461.0,3,0.39,0.0,1605.0,50.4,False
GHN7HaqYnV7rr9MdGaUCeVUEjjZLoAs2JiABjzXqWwvX,3,3,0,3,0,3707.0,UNKNOWN,3707.0,3,0.37,0.0,1691.0,50.4,False
