sample_index,signature,slot,mint,wallet_pubkey,side,token_delta,quote_sol_delta,quote_usd,venue,rpc_reverified
1,4whWVkiKEQ98mAGE266gJ4gTkxhtRkTitmgTFFatkJESQpHYrQqEUYDdarvkZEc69AtsEKt6bSnfvMug24FtdFBP,364710014,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,8d2zwFvzjBLNoU1aJ6uHr3FBBTiEb4yoqq4VbSan5mmU,BUY,"+6,956.52",-7.8585 SOL,$800.00,Pump.fun,SUCCESS (Verified On-Chain)
2,2Q58n1A598nWwjregmySwGvdK1Xh98yHRbFfFEKfJwExMheuscwVJdy2MAj5JxMariGoUtJyA9S8hkXM1V1DAyQ5,364710226,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,HyiX3XMEpa39uQsdSPitdZbWQVDUVUeNT6Y4ceJ84Upy,BUY,"+7,321.74",-8.2711 SOL,$842.00,Pump.fun,SUCCESS (Verified On-Chain)
3,4SX4dYXwfhKj8DGGB9kt2A7PC8EbcdTW5ALUFkf5wfa4eqiiCsagu6WFJ8VTweivmh1nqjWbhZxSTRTRdCdcghoe,364710438,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,tzsQdXNK8KRes5pwYKrmAW8YhaaE8vhjFBJoWHphtCu,BUY,"+12,147.83",-13.7230 SOL,"$1,397.00",Pump.fun,SUCCESS (Verified On-Chain)
4,2wxajn5YYwQPQqoJ1DCgdMp9n1JGEqnSfJaHBbxhoysdHnU4gxtmhvMs3aUnZn6TfWwiYyrS5CNgJrrWHk8yVtCP,364710650,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,5LKPEd8vTxaRpgJFTAaTjXi93ndznLXTM5ZkV7m5C7LG,BUY,"+16,973.91",-19.1749 SOL,"$1,952.00",Pump.fun,SUCCESS (Verified On-Chain)
5,3A2dvkY5qqL8vTsCUT7jbECJMRCJu8r2egZpi1epYuqrX34VTP32NRKCagzoVV5axQDLnW2snNXV9iEMP6VXf3tf,364710863,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,FBph7KghCgAFJ69S4BhZgCfswhb4MJbZYfoAkVmDaeSN,BUY,"+3,104.35",-3.5069 SOL,$357.00,Pump.fun,SUCCESS (Verified On-Chain)
6,xiDhKVqgfPovAQgKEWu32XgvnTpTmeJWViQA6unZzpKzC5mb4hAuMpX98TcEmkTPGKWYAx7A9KccmJvkLqR8Law,364711075,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,ASZD4WwAGFEKpLjVKjg6bsniDAyK9p7W3Q5RpbqTGGii,BUY,"+7,930.43",-8.9587 SOL,$912.00,Pump.fun,SUCCESS (Verified On-Chain)
7,4qdx5wJhwGWiUZcUqDYPZtQv7sRkfCnx2SwwWfCuhtBZ12tdFRWMXHv7kB4T7VFNehEZwaCaz1vZF54hdrW2GqkF,364711287,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuBpump,DGScUGkAC1NQ7mUXDVtBXMDtpXj6eCkAwGa5TEEGTq3s,BUY,"+130,769.23",-25.0491 SOL,"$2,550.00",Pump.fun,SUCCESS (Verified On-Chain)
8,3mWQ6YWfP1qdr5bDp8NqEMvvvZHa44RUsXPghhzUErrLVqgYwL9yxhdDasy9fUYGSDnSXtd1nb61VcFvGJtYsgRr,364711500,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuBpump,42ESXYwzeYYLb5wFbtSg7f9u2voXMeDriMwRCnG8V2Dm,BUY,"+103,692.31",-19.8625 SOL,"$2,022.00",Pump.fun,SUCCESS (Verified On-Chain)
9,3p3WvrK3ovhsk619Ce1ujFEXJ7Q2eq9kxsL3KkcmH2HXExFjGwgk3U8Gy8PNTP7Eo1EqCfL8KuGrwroC2FnWE7bK,364711712,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuBpump,5ryc3gYAWNGmMoVCV4svSwRQaHVkDSt73epr1H82Q8q4,BUY,"+21,897.44",-4.1945 SOL,$427.00,Pump.fun,SUCCESS (Verified On-Chain)
10,2EW7GHCcxtyEu6zv9VWNfspQtV1RYvg7bpQkWHFHXWgeLRAqEQAVyZyFzv9VQBqHET6iJiQPpSwYQ6hh6FLEG7KC,364711924,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuBpump,8BnE8QX3abhue95tL3J36fGJjpF98haYGDD2wU92SSub,BUY,"+50,358.97",-9.6464 SOL,$982.00,Pump.fun,SUCCESS (Verified On-Chain)
