mint,symbol,timestamp,alpha_score,risk_score,final_score,confidence,known_features,unknown_features,security_status,liquidity,age,smart_money_score,whale_flow,microstructure_state,sniper_modes,recommendation,source_type,smart_money_label,smart_money_netflow_usd,smart_money_buyers,smart_money_sellers,emerging_smart_money_score,emerging_netflow_usd,emerging_accumulating_wallets,emerging_distributing_wallets,emerging_quote_quality,emerging_signal_label
AHVAZZEBWXuo3xstsMLePnseDQKM1GPBq48DU7Stpump,GIVE,2026-09-06 18:40:02,51.44,21.0,63.11,42.11,8,5,SAFE,18725.89,,50.0,0.0,R1_DORMANT,"EarlyLaunch,SmartMoney,Whale,Momentum,Hybrid",REJECT,REAL,NEUTRAL,0.0,0,0,50.0,,0,0,0.7778,NEUTRAL
AmZHqnabM4TdoiaRWo5qxRWPTB8RFtYF4tjUqgSepump,FCAT,2026-09-06 18:38:09,49.68,21.0,62.94,40.3,8,5,SAFE,19098.04,,50.0,0.0,R1_DORMANT,"EarlyLaunch,SmartMoney,Whale,Momentum,Hybrid",REJECT,REAL,NEUTRAL,0.0,0,0,,,0,0,,NEUTRAL
AG31qTAGWgN4XSu7mQwN931frwTq4N7HChFDEdvtpump,VALVA,2026-09-06 18:39:05,51.34,21.0,61.78,35.98,8,5,SAFE,6456.27,,50.0,0.0,R1_DORMANT,"EarlyLaunch,SmartMoney,Whale,Momentum,Hybrid",REJECT,REAL,NEUTRAL,0.0,0,0,50.0,,0,0,0.9474,NEUTRAL
GzyaUfFfNhwz5XbN91VxAzDwFPLNn22UWZ2MGGKTHcvK,MORGAN,2026-09-06 18:39:34,53.13,21.0,61.73,41.16,8,5,SAFE,16821.16,,50.0,0.0,R1_DORMANT,"EarlyLaunch,SmartMoney,Whale,Momentum,Hybrid",REJECT,REAL,NEUTRAL,0.0,0,0,50.0,,0,0,1.0,NEUTRAL
5gfU5yCx9ysLhQ7q4i9f6Ukiwws8t7Re3y2334EhzQHJ,MemePerps,2026-09-06 18:41:25,52.05,21.0,60.83,39.38,8,5,SAFE,13256.6,,50.0,0.0,R1_DORMANT,"EarlyLaunch,SmartMoney,Whale,Momentum,Hybrid",REJECT,REAL,NEUTRAL,0.0,0,0,50.0,,0,0,1.0,NEUTRAL
DXSAxxLnsf1kFgjUEp492FZQR4xfpszac26FXrtjWvwf,SLOWLANA,2026-09-06 18:42:20,49.6,19.0,60.23,52.16,8,5,SAFE,38829.96,,50.0,0.0,R1_DORMANT,"EarlyLaunch,SmartMoney,Whale,Momentum,Hybrid",REJECT,REAL,NEUTRAL,0.0,0,0,50.0,,0,0,1.0,NEUTRAL
8SdgDuPP6GxhHixhSbPNRD9zXZ9mU1ntBzVdfe1cLawh,SHRIMP,2026-09-06 18:40:29,47.59,21.0,59.06,38.33,8,5,SAFE,11163.9,,54.34,0.0,R1_DORMANT,"EarlyLaunch,SmartMoney,Whale,Momentum,Hybrid",REJECT,REAL,NEUTRAL,-122.96,1,1,50.0,,0,0,0.8824,NEUTRAL
k19aRMcUpAtXwTHcr2YGkaNBFLhvtC4HkdiZwspKn2N,GG,2026-09-06 18:42:48,49.0,24.0,58.89,35.19,8,5,SAFE,4883.19,,50.0,0.0,R1_DORMANT,"EarlyLaunch,SmartMoney,Whale,Momentum,Hybrid",REJECT,REAL,NEUTRAL,0.0,0,0,50.0,,0,0,0.7727,NEUTRAL
SkuPjofYV7jrjgAfTgAWjHM36Pu2uib2Fj5ZpqCpump,survіve,2026-09-06 18:41:53,46.17,24.0,57.43,34.36,8,5,SAFE,3213.78,,50.0,0.0,R1_DORMANT,"EarlyLaunch,SmartMoney,Whale,Momentum,Hybrid",REJECT,REAL,NEUTRAL,0.0,0,0,50.0,,0,0,0.8667,NEUTRAL
HspTMJZsZpT6gR88wqS1C5x1DkswXp6uNTSKX7bu4J5Z,STONKINU,2026-09-06 18:40:57,48.25,19.0,55.13,57.75,8,5,SAFE,82660.23,,47.5,0.0,R1_DORMANT,"EarlyLaunch,SmartMoney,Whale,Momentum,Hybrid",REJECT,REAL,NEUTRAL,-4.83,1,1,50.0,,0,0,0.7059,NEUTRAL
GVMynVkkSi1e78wiZDkUA9QKJAfk4WH7JDYgauAkH5zz,SLO,2026-09-06 18:38:37,47.66,23.0,52.17,26.46,6,7,SAFE,,,48.12,0.0,R0_DEAD,"EarlyLaunch,SmartMoney,Whale,Momentum,Hybrid",REJECT,REAL,NEUTRAL,0.0,0,0,50.0,,0,0,1.0,NEUTRAL
