signature,slot,timestamp,pool,mint,wallet,side,token_amount,quote_sol,quote_usd,price_usd,venue,is_whale,is_quote_verified,source_type
45oXaom4xCL4MenYqXfqvAQmN4YsQcgMY9gVUMWyWhbyxAFvfscAWuvc5YX3KR7g41Ki59J5wfert771ifsA8ydH,444607618,2026-09-05 20:12:33,AChLdRrzM9RC8xbMapZSzCa2Ehg4n8QRPmepeoRZrVno,2pw42Poei4ys5drzQXnr8ePXUuc8utM8r2S98urSpump,FSNa7qrzg2cnVBk2BKx2HaxzEUnJU9Lx7MKMmKCouSCt,BUY,54932.491946,,,,Generic_DEX,False,False,REAL
5YT7i4FHAMXG2hqwcB4EiRk64m3NzYT7WRkH7AGxosPdwpGAXLyEjEo26hXUCych25n8TQWNeiKgpMj6dKuQpCS5,444607618,2026-09-05 20:12:33,AChLdRrzM9RC8xbMapZSzCa2Ehg4n8QRPmepeoRZrVno,2pw42Poei4ys5drzQXnr8ePXUuc8utM8r2S98urSpump,BjX1D4Bck1qDE3vC9sFeSzXVMVbcxeuP8TCEAPGingy5,SELL,46464.461425,,,,Generic_DEX,False,False,REAL
2GSRPJC6ZBJEcKN8DQ3p9Xusb7LmBM1pDRTH4odHDve4QMAmyoanHYhU3Ls3RECXFLgGx2aZzn55Sh1uozXb7Ay2,444607617,2026-09-05 20:12:33,AChLdRrzM9RC8xbMapZSzCa2Ehg4n8QRPmepeoRZrVno,2pw42Poei4ys5drzQXnr8ePXUuc8utM8r2S98urSpump,BCqLhX1RaGyrgySpayMrHG7rNZBGj41zdX3xNAZRpsb6,BUY,30493.370911,,,,Generic_DEX,False,False,REAL
2TmwXwAbawQm8grJbFvaS2vuTnfwK5tk28cg2QgecJb9Co9iXobj3Nnp5LdNgG46k7RCbyLR7YJBnHpv4TaeKQh3,444607615,2026-09-05 20:12:32,AChLdRrzM9RC8xbMapZSzCa2Ehg4n8QRPmepeoRZrVno,2pw42Poei4ys5drzQXnr8ePXUuc8utM8r2S98urSpump,DFKpRxZ4bM2tLceq59ZjCuw5i5aoQ5NmYp5ZgWKxsL6m,BUY,13174.473396,,,,Generic_DEX,False,False,REAL
4vadGztYgDEsyArKf8rsydpgQ2TuCQsDurhdUmZzMgsrRPY61r4kPdKj7LCCpgZXAWUEquyc9MjonMhxrrUYt839,444607615,2026-09-05 20:12:32,AChLdRrzM9RC8xbMapZSzCa2Ehg4n8QRPmepeoRZrVno,2pw42Poei4ys5drzQXnr8ePXUuc8utM8r2S98urSpump,6hpkv6dHHZuwd48jSYPtTxNFjG577QTunz4Pxet2tjYR,BUY,37259.124475,,,,Generic_DEX,False,False,REAL
maKgkqhLvwFZ2uEbRjbC1haYzfcorX9462tcdbWXRNoTWU78wfPmPTjuoRtF3Ny9xtqYr5wdSByWswnRaC1sqZJ,444607615,2026-09-05 20:12:32,AChLdRrzM9RC8xbMapZSzCa2Ehg4n8QRPmepeoRZrVno,2pw42Poei4ys5drzQXnr8ePXUuc8utM8r2S98urSpump,BxoeRzu1HwjBeyo9mhUAW2XsXZvZUoeQ3XzeG41RsENv,BUY,257045.8918539998,,,,Generic_DEX,False,False,REAL
h8tJsE2aHGxd6xHadCmhzds85BFvZHXwBk6C4d58yjai6CXGbWmntcHynYn7LgSuGmi84ZFbjAe7oWSSNrf5uwN,444607613,2026-09-05 20:12:31,AChLdRrzM9RC8xbMapZSzCa2Ehg4n8QRPmepeoRZrVno,2pw42Poei4ys5drzQXnr8ePXUuc8utM8r2S98urSpump,GLwtsSr6mvq1cnGNtZbQszyd49ZKVB2bznXBAG4Jx8Cp,BUY,65406.363725,,,,Generic_DEX,False,False,REAL
21VLNVYSZaDJVcG3KWqDj76NJRjNya1sdawR5zQ6Hmth14udxwkYJ9RJr8Q9fxqzYiHTVqK9Lx7GRUbnU4LNTa4t,444607613,2026-09-05 20:12:31,AChLdRrzM9RC8xbMapZSzCa2Ehg4n8QRPmepeoRZrVno,2pw42Poei4ys5drzQXnr8ePXUuc8utM8r2S98urSpump,GTw7Ua5L8XL2YPVuKQNbHXcrAatu1LjS1HqLMqUJhasE,BUY,38818.095843,,,,Generic_DEX,False,False,REAL
2f6WRw2c3ytSErcAwzPComTNmD3cGasv1pVnmuFwKDEDjVkgAaK86yDy4R3ykyNcYWZYdberDh3H1w75MWs5Kncp,444607611,2026-09-05 20:12:31,AChLdRrzM9RC8xbMapZSzCa2Ehg4n8QRPmepeoRZrVno,2pw42Poei4ys5drzQXnr8ePXUuc8utM8r2S98urSpump,E67c8WzQGFngtBP4BDmPvcjRCGPRCNuerpYV6JokGAdu,BUY,27173.315712,,,,Generic_DEX,False,False,REAL
4ZCNxRG28t6B65pGBaYCjexaD1KVR77unT91TjcUAnFcB8RNqUcXsE23JCycUkjreNcqg2ZvdLT5xs168ED4uV7n,444607611,2026-09-05 20:12:31,AChLdRrzM9RC8xbMapZSzCa2Ehg4n8QRPmepeoRZrVno,2pw42Poei4ys5drzQXnr8ePXUuc8utM8r2S98urSpump,6UNjS6H6rL7pV3MqM7gio1rvRYrxbS1pXb6c3moSXgth,BUY,741916.390561,,,,Generic_DEX,False,False,REAL
2eQ9UTB3TnJKC7x4pfkt1F1786gjLU2GMP9f9prGKcSNJtf4DJYGwH3Kg2G6Bg8V9i9oMBf9MR24TJHiRMbeuhy8,444607675,2026-09-05 20:12:50,76UhTEd4j9ijAAXibpAgvK4j6Yf9qtUPi1jh3BcGG1P9,6HwjR6eNd7xBzFX1p2jc5dbHzCyx5FoDVRiKUfJMpump,72JjxACD6aB2RCwYDxdw4CrxUVj4VzUZmQPz6AwNv4LT,BUY,299474.811689,,,,Pump.fun,False,False,REAL
3vsfE1YGTYzpBLv98meesc8wthhu3Wy2hSL9BNszcuatT945LgiVCdLdRZzEJVzZNti99CKswqXTjRK131a9bKza,444607671,2026-09-05 20:12:49,76UhTEd4j9ijAAXibpAgvK4j6Yf9qtUPi1jh3BcGG1P9,6HwjR6eNd7xBzFX1p2jc5dbHzCyx5FoDVRiKUfJMpump,67R1q5tqtBw1rrVoBbLUkgR4y8geZD9rNqp3DfEL7Jon,BUY,2829121.5803,,,,Raydium_AMM_V4,False,False,REAL
3RP9nSZTyRrQ87jnPNUYMEJVF9h7D2n5wNRBqynYvHHhq93CKxgCGp7L5QZUpYtQemaatsvjjYfhb9qFt9ZgZUdY,444607667,2026-09-05 20:12:48,76UhTEd4j9ijAAXibpAgvK4j6Yf9qtUPi1jh3BcGG1P9,6HwjR6eNd7xBzFX1p2jc5dbHzCyx5FoDVRiKUfJMpump,BwRUYhUN18HHM5KdLmzTfrrqRbqP6g7QsHn8tz6g87DL,SELL,10115200.915897,,,,Pump.fun,False,False,REAL
44VBGB85bSKLhy7oeUp9nTzmyCmE6HmRcwctWbjQp6DfiaBuRwtwDp1HwAii2dRZyVQWjhGcD8KzUujK7z8D2mLA,444607596,2026-09-05 20:12:26,76UhTEd4j9ijAAXibpAgvK4j6Yf9qtUPi1jh3BcGG1P9,6HwjR6eNd7xBzFX1p2jc5dbHzCyx5FoDVRiKUfJMpump,2zYeZJWSA9PctkKEJZHSwutC8fS2jwLZEQ5K8CqtwW54,SELL,1136522.475517,,,,Pump.fun,False,False,REAL
56MzHEDQu3JrDm1enxqGrd1qAFMMJ5JriUicWrJ8LtqK42YKcRvaVkdqHytqxPznmNNPsanUpNbKvjNtPDCvJxsR,444607757,2026-09-05 20:13:15,58ESDsrZJ9fKccTMPL5zdktr14NER11a25TovEMqUL8E,6JV2jrkUK3rxf3oHwpD1BpinxkaJ5gBUoFQmi5czpump,CzenSBELRuncdPecN3jU3aF5pdrbAXp2J9Y1NrhSXVsg,SELL,69231.485671,,,,Raydium_AMM_V4,False,False,REAL
3x94NkLzmUYbEAyunmsoSey7EqMw7YiEX6AsAWyHR5SyzGMgGW9bbUwSyh4wwSg4tcKWe4xCNvsiXBSmk8VGciva,444607728,2026-09-05 20:13:07,58ESDsrZJ9fKccTMPL5zdktr14NER11a25TovEMqUL8E,6JV2jrkUK3rxf3oHwpD1BpinxkaJ5gBUoFQmi5czpump,HrhpxDNutasRAty1yrq5jwGgGCbfNfZPWP6sxQG1GVfQ,SELL,612275.192078,,,,Generic_DEX,False,False,REAL
2BoUygY81C8s95PJBJXdSXsFsxVWnoJphhNbknnHC67nXwvNFmtBTMeENuobC9TJFB5jTKEB6MaSCZbXLEvvPSkX,444607719,2026-09-05 20:13:04,58ESDsrZJ9fKccTMPL5zdktr14NER11a25TovEMqUL8E,6JV2jrkUK3rxf3oHwpD1BpinxkaJ5gBUoFQmi5czpump,GL9RmQ9qQf2GumDaJ9B7mSV8aKycFaWw7K5ZXZZrJ6F9,SELL,9541779.801806,,,,Raydium_AMM_V4,False,False,REAL
