mint,symbol,owner_program,decimals,supply,mint_auth_revoked,freeze_auth_revoked,top10_holder_pct,verification_status,source_type
74G3roixzS8VjEW9Fp9AL77zvNmTngmoBoddd9P6XDWt,Useful,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,6,1000000000.0,True,True,,VERIFIED_ON_CHAIN,REAL
3coFBLantjJkMRmzaQ4znMQQzfqFYTyBeNhdXYAzpump,PUMPLOYEE,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,6,1000000000.0,True,True,,VERIFIED_ON_CHAIN,REAL
7dCXkweGwyjujRK4nDat9pMZg6J7ZsdJn2e3mbmW38JV,589,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,6,999998414.653991,True,True,,VERIFIED_ON_CHAIN,REAL
DHLqUh8wJjJCnfdZpjFkeKhdic9nTpMxzD1Vkx8DG17U,SWIFT,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,6,1000000000.0,True,True,,VERIFIED_ON_CHAIN,REAL
HeNr8GJsX1YXem7NyxkJasSJVrWjKhyom4oZQHZuwmXj,ㅤ‮,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,6,1000000000.0,True,True,,VERIFIED_ON_CHAIN,REAL
7FqW1jsE5JvWf9kFpEAaBS5pE6VEuxd7BzUexhUxi2Fa,ALPACA,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,6,1000000000.0,True,True,,VERIFIED_ON_CHAIN,REAL
GLjhdCD826s4eds1HeFCicvZ7JRZ62u3SzGqkcq3f7CY,employim,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,6,967095212.562572,True,True,,VERIFIED_ON_CHAIN,REAL
2pw42Poei4ys5drzQXnr8ePXUuc8utM8r2S98urSpump,POINTLESS,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,6,986136099.838575,True,True,,VERIFIED_ON_CHAIN,REAL
6HwjR6eNd7xBzFX1p2jc5dbHzCyx5FoDVRiKUfJMpump,USEFUL,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,6,999989069.599527,True,True,,VERIFIED_ON_CHAIN,REAL
4TB8HmL4HHQfkLVJthqs6WgYTQZdgideFrC4pdnXpump,hillsmith,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,6,999999999.996472,True,True,,VERIFIED_ON_CHAIN,REAL
7tVc487jHuDvcVc2ADYkkU7FgXArJLDjzpuVi7ropump,PUMPONS,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,6,999999999.58236,True,True,,VERIFIED_ON_CHAIN,REAL
