event_id,signature,mint,wallet,action,amount_tokens,amount_usd,impact_score,timestamp,source_type
whale_2gtUt9WR_1788778600,2gtUt9WRk7ukczS23bAcyXx6HJATSN5mVgdPukiA6TLKPJLTWSRRshVdkSfFE7MnVgtFrYs4Hd61dSd5dhhu6Kit,7nuNWZ4FxJTuN811w8ybSFPwapouDBTnDh5kQnkapump,8NawjXkWwvJuPbkuqpVbmvbWM8GcXdWShdkE5G14kqQM,BUY,11665160.753594,106.14,17.67,2026-09-07 10:56:40,REAL
whale_ST71rJWm_1788779208,ST71rJWmMbcm9aUQKZ5cTnwUeJzHkw8hyoHkX2cgZuRutX5kMzYrnbzHZpbX7iLyRqGBngpcyAYduPEdpjW4Y2n,DZWQT5dq1UtdFdWxaJNx4fQ2m89XCRKHg8N1wD5Kpump,7XH6oK4LKTCwWfBennWyHEt2uc7ES9Dj464oFSJqDSUR,BUY,14589482.027558,100.01,15.93,2026-09-07 11:06:48,REAL
whale_2iZsPJuo_1788779388,2iZsPJuoBceA6ac4VaiFtTsqy7Wc8m7B169Ve8koPhXRV3HNn85zyyP4mv3ZzJvH4wDzjTNdXbCiyKGuRmvtN4cG,8fhrfxcuzjXZwoUBsWbZi4q8LF1pLAzD5LqJ88J1pump,DaDSv3nfY18jdU6VxoSDY5Ygr2xhBff8RnFa8HRJ8eUW,BUY,22724777.65111,157.31,30.2,2026-09-07 11:09:48,REAL
whale_5H5gLaKP_1788779388,5H5gLaKPW84ZcHtiANcgeoSL3pSuvXHCGeyd1XtRjYEpyeAFnWWn78cN41nbrs4UR7JYom5XhDdnRgr2btvrWvEh,8fhrfxcuzjXZwoUBsWbZi4q8LF1pLAzD5LqJ88J1pump,7P6RUvYBZC7XxkoV5P3mbpnJixWo3WiQo4EzoAqmiL6R,SELL,12364972.252124,81.4,15.63,2026-09-07 11:09:48,REAL
whale_3JyoYmFL_1788779413,3JyoYmFLW5a6Em5Y3iXtVonMdeuAc4eHWAivY6XS56egt7HiYGUapNaepMV7jUYwG6kAzn8x2UYBt1JSmJWgtCS3,DZWQT5dq1UtdFdWxaJNx4fQ2m89XCRKHg8N1wD5Kpump,DBMrpQh6j9WwKpnkttjU7CQgzQC7fcBtmDQjHAKouFkE,BUY,22856937.838766,105.12,26.45,2026-09-07 11:10:13,REAL
whale_2Wa1f9KS_1788779419,2Wa1f9KSB1JLZNvJJ1ku5nvuNLyHwFGW4zfrNwNmsLKhzYApLa17wRhou3rXj5ep3kE2zb3gPjKdCMZ9sApvTzcU,DZWQT5dq1UtdFdWxaJNx4fQ2m89XCRKHg8N1wD5Kpump,7BNaxx6KdUYrjACNQZ9He26NBFoFxujQMAfNLnArLGH5,SELL,12657990.771581,63.57,16.0,2026-09-07 11:10:19,REAL
whale_2NwppsGB_1788779623,2NwppsGBCYsWjbLkTRrVBRoLNazgScDcQVPLnctYdFNeQ8Se2aUQWsmbmPUK8tMm6N4nmwY2t6CHQDRaKNXEjcfR,8fhrfxcuzjXZwoUBsWbZi4q8LF1pLAzD5LqJ88J1pump,2zaAtsk4NBDPjghVk3aoXM5JbXZWrd4KvQkkQAmbH94J,SELL,21667240.758655,142.36,26.5,2026-09-07 11:13:43,REAL
whale_L8xQcz6P_1788779683,L8xQcz6PiHBYTbCGjP6mwBS1ghyahQg7XMnyA4Z7C4kZ33Ugibyih346XVnY2LTvzgZ19yFsiZkwgAP9Fo3AAEJ,8fhrfxcuzjXZwoUBsWbZi4q8LF1pLAzD5LqJ88J1pump,DaDSv3nfY18jdU6VxoSDY5Ygr2xhBff8RnFa8HRJ8eUW,BUY,15673333.116155997,104.91,21.08,2026-09-07 11:14:43,REAL
whale_4P6aeLbM_1788779706,4P6aeLbMX96whEqZC4pPBtz731xPQqd5ciGjgFso2ZmjdeboanEntCWBFgT2pTvKJamPsCUPyDqghxPqLm5GvvsD,DZWQT5dq1UtdFdWxaJNx4fQ2m89XCRKHg8N1wD5Kpump,7XH6oK4LKTCwWfBennWyHEt2uc7ES9Dj464oFSJqDSUR,SELL,20077982.507054,81.75,21.6,2026-09-07 11:15:06,REAL
whale_5p4UXULC_1788779783,5p4UXULCZaeuxrcYYtx7e4peG64CBrPfgQDHfhrdi85FWyFFYcgaMcwJAAh3PXCzmdubPLP1q5w2BCyckYHubBSd,DZWQT5dq1UtdFdWxaJNx4fQ2m89XCRKHg8N1wD5Kpump,DBMrpQh6j9WwKpnkttjU7CQgzQC7fcBtmDQjHAKouFkE,SELL,15835070.017309,70.08,17.96,2026-09-07 11:16:23,REAL
