event_id,signature,mint,wallet,action,amount_tokens,amount_usd,impact_score,timestamp,source_type
whale_LvtHhVUf_1788640727,LvtHhVUf1e6S4gDamq71yXyKShJSP3XnovLwx2G8bfsP4zThkkgKsUa542WXF5rsGuLymGdfv5hTvm2H3YBKUqG,7dCXkweGwyjujRK4nDat9pMZg6J7ZsdJn2e3mbmW38JV,BbR7fXwf1N2v1Nek5K6SSbrckqqxta4snx3r1WcNgQzn,BUY,15066287.694522,206.84,100.0,2026-09-05 20:38:47,REAL
whale_VmmCiScq_1788640590,VmmCiScq2eY12aU41DgZqqXcAoUbBtsCpbtFbRa1Piea5in9A2EWNjGPE8NVhHQ6zvAQxhnQwskJK9RaCfnoupN,7dCXkweGwyjujRK4nDat9pMZg6J7ZsdJn2e3mbmW38JV,BbR7fXwf1N2v1Nek5K6SSbrckqqxta4snx3r1WcNgQzn,BUY,3651272.908117,51.79,74.19,2026-09-05 20:36:30,REAL
whale_343Gp3xg_1788640545,343Gp3xgjjmkaGRyHxHDJkdALJF394636TXqhR8FP7Wq93ptoiDw1ZwQH3xzcMYrDndeHTuJNiNtdPyHu2vNQhzp,7dCXkweGwyjujRK4nDat9pMZg6J7ZsdJn2e3mbmW38JV,DQkBGHxmv3pdyewruy5aqGWxbpWzQAmtc7MCd7zA9u3Y,BUY,819721.497759,11.9,17.05,2026-09-05 20:35:45,REAL
whale_9utS9XEo_1788640896,9utS9XEoUhtNpCXeY8PZZconcNfk8wCoYnRiwDjVtkkqDidCHf3CqnYC68uiHPJA7MnZgvySzvFqJ3L8XBhHMNx,GLjhdCD826s4eds1HeFCicvZ7JRZ62u3SzGqkcq3f7CY,3XSaRnj4XdGRWGNwGjZh5MuZBsW8BQBZNa6uTd2Ti5XP,SELL,7404836.07,262.15,20.98,2026-09-05 20:41:36,REAL
whale_41e8pXD2_1788641083,41e8pXD2peL5wjWYVkDsPZMHvnCbki8jXZYQagveX9szUVWZ18VwBLJJn3VnahGVNYDS65ZdEQwormaaGkVRL42g,7dCXkweGwyjujRK4nDat9pMZg6J7ZsdJn2e3mbmW38JV,BbR7fXwf1N2v1Nek5K6SSbrckqqxta4snx3r1WcNgQzn,SELL,17164082.932844,135.96,100.0,2026-09-05 20:44:43,REAL
whale_4N63L2pV_1788641066,4N63L2pVWKphBsY7iC27x6fiahMACxP7gH4GMhVUu7dQeLWZjGPtFjNmzDWhH8DPR73FBEUcgF6VThbJ7uSS48C,7dCXkweGwyjujRK4nDat9pMZg6J7ZsdJn2e3mbmW38JV,BbR7fXwf1N2v1Nek5K6SSbrckqqxta4snx3r1WcNgQzn,BUY,5614435.652105002,51.74,81.5,2026-09-05 20:44:26,REAL
whale_4pnfkhkU_1788641066,4pnfkhkUjhPg8mtvKHWYhuDDzYR73Jk9oRVpP3y1DoXVT7FJmNA2bVkRz6Ui7manXU6VnrYTsjQYuqf8U94koz8s,7dCXkweGwyjujRK4nDat9pMZg6J7ZsdJn2e3mbmW38JV,BbR7fXwf1N2v1Nek5K6SSbrckqqxta4snx3r1WcNgQzn,BUY,11549647.280739,103.38,100.0,2026-09-05 20:44:26,REAL
whale_2fdLHvs6_1788641055,2fdLHvs6UjAmciC53AhvPuocf8hcWy98sMqFD11HhGszaotQPx91A5Td9cM8rKhcDJBvhHbbKaFczQfjSnufchwH,7dCXkweGwyjujRK4nDat9pMZg6J7ZsdJn2e3mbmW38JV,Cto54W7DPkQeph2SoJrudbtxc2JK8ByPHiXUgKyrsLXY,BUY,1294904.987344,11.38,17.93,2026-09-05 20:44:15,REAL
whale_3KwBUkRh_1788641054,3KwBUkRhH5NRhP2EUumjszY3xS3A9HzMTYZXHUwEqv91nk4BWaDjAUJ85tvkyZWiEoXBMVQRPRyC3LFgG9ER4uEn,7dCXkweGwyjujRK4nDat9pMZg6J7ZsdJn2e3mbmW38JV,EuxeSrJAuybm9JBzWuKt7hKWmX22uZLEbumRmYY3BV4n,BUY,2610590.837451999,23.33,36.75,2026-09-05 20:44:14,REAL
whale_4u5gJA7y_1788641054,4u5gJA7yw313uNWurvp7qRTr3ajgKge2w9FqisyKEg4JPxSkGtssCR2kr7TCPePmPPMYUxkzGZ8iU7EtwAbaHpwX,7dCXkweGwyjujRK4nDat9pMZg6J7ZsdJn2e3mbmW38JV,EiYk9kb3zH3WAn1ZodkLV73ZE2AzMZNTu1SNwwRWX3so,BUY,3316033.860308,29.14,45.9,2026-09-05 20:44:14,REAL
