mint,symbol,pool_liquidity_usd,absolute_netflow_usd,flow_to_liquidity_ratio,largest_single_buy_usd,single_order_pool_impact_pct,accumulating_whales_count,accumulation_events_count,whale_buy_acceleration,relative_whale_strength_score,conviction_tier
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,FARTCOIN,3400000.0,15147.0,0.004455,16797.0,0.494,2,2,5.59,61.4,MODERATE_INFLOW
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuBpump,GOAT,2100000.0,3850.0,0.001833,5500.0,0.2619,2,2,1.16,44.1,NEUTRAL
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,PNUT,1650000.0,20175.0,0.012227,3134.0,0.1899,11,11,0.34,67.0,HIGH_RELATIVE_CONVICTION
Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,PIPPIN,950000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,12500000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,WIF,18200000.0,22568.0,0.00124,3165.0,0.0174,12,12,0.13,40.9,NEUTRAL
6p6xgHyF7AeQHyVaKVUz8V8bEkP1wX2MSo1111111111,TRUMP,14200000.0,2637.0,0.000186,2594.0,0.0183,2,2,0.02,23.8,NEUTRAL
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,PENGU,4500000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74WD8,BOME,6800000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,MEW,8200000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,FWOG,1850000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
