mint,symbol,alpha_score,risk_score,confidence_score,regime,final_score,detected_at
FASTSurgeLaunchPumpToken11111111111111111111,FASTSURGE,72.59,1.0,61.2,R3_EARLY_IGNITION,80.47,2026-09-05 11:23:22
ALPHAPre1gniteMemeToken111111111111111111111,PREIGNITE,73.1,1.0,76.8,R3_EARLY_IGNITION,82.06,2026-09-05 11:23:22
2b1kV6DkPAnmd5cvKuTVRkK9wP3X4y6MSo1111111111,PENGU,57.54,0.0,100.0,R2_ACCUMULATION,70.39,2026-09-05 11:23:22
6p6xgHyF7AeQHyVaKVUz8V8bEkP1wX2MSo1111111111,TRUMP,59.24,0.0,100.0,R2_ACCUMULATION,71.16,2026-09-05 11:23:22
7A2yZgR3vUvhJpWq9kXqQ45F8Z88T1kE9B56Z2u2pump,WHITEWHALE,55.27,0.0,100.0,R2_ACCUMULATION,69.37,2026-09-05 11:23:22
Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,CHILLGUY,50.98,0.0,100.0,R2_ACCUMULATION,67.44,2026-09-05 11:23:22
Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,PIPPIN,61.48,0.0,100.0,R2_ACCUMULATION,72.17,2026-09-05 11:23:22
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,PNUT,57.0,0.0,100.0,R2_ACCUMULATION,70.15,2026-09-05 11:23:22
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuBpump,GOAT,69.76,0.0,100.0,R2_ACCUMULATION,75.89,2026-09-05 11:23:22
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,FARTCOIN,72.29,0.0,100.0,R3_EARLY_IGNITION,77.03,2026-09-05 11:23:22
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,WIF,64.09,0.0,100.0,R2_ACCUMULATION,73.34,2026-09-05 11:23:22
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,64.3,0.0,100.0,R2_ACCUMULATION,73.44,2026-09-05 11:23:22
