mint,symbol,alpha_score,risk_score,confidence_score,earlyness_score,execution_score,final_score,regime,narrative,decision
AlphaPreIgniteMeme99999999999999999999999999,PREIGNITE,78.83,1.0,76.8,86.0,75.0,84.64,R3_EARLY_IGNITION,Whale Dynamics,PAPER_ENTRY
EarlyLaunchFastSurge888888888888888888888888,FASTSURGE,70.9,1.0,61.2,92.5,75.0,79.71,R3_EARLY_IGNITION,Whale Dynamics,PAPER_ENTRY
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,FARTCOIN,77.93,0.0,100.0,30.0,95.0,79.57,R3_EARLY_IGNITION,AI Agents,PAPER_ENTRY
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuBg9Rpump,GOAT,70.28,0.0,100.0,30.0,95.0,76.13,R2_ACCUMULATION,AI Agents,PAPER_ENTRY
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,60.59,0.0,100.0,30.0,95.0,71.77,R2_ACCUMULATION,Dog / Community,WATCH
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,WIF,59.88,0.0,100.0,30.0,95.0,71.45,R2_ACCUMULATION,Dog / Community,WATCH
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,PNUT,58.83,0.0,100.0,30.0,95.0,70.97,R1_DORMANT,Viral Mascot,WATCH
7A2yZgR3vUvhJpWq9kXqQ45F8Z88T1kE9B56Z2u2pump,WHITEWHALE,57.95,0.0,100.0,30.0,95.0,70.58,R2_ACCUMULATION,Whale Dynamics,WATCH
Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,PIPPIN,56.96,0.0,100.0,30.0,95.0,70.13,R2_ACCUMULATION,General Meme,WATCH
Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,CHILLGUY,48.64,0.0,100.0,30.0,95.0,66.39,R1_DORMANT,Character Meme,REJECT
